# Vehicle stock,,,,,,,
sector,mode,technology,var1,var2,var3,var4,unit_conv
trn_pass_road_LDV_4W_other,Car,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_other,Large Car and Truck,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_other,Mini Car,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_other,Car,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W_other,Car,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W_other,Large Car and Truck,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W_other,Large Car and Truck,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W_other,Mini Car,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W_other,Mini Car,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_other,2W and 3W,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Internal Combustion,1
trn_pass_road_LDV_other,2W and 3W,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Battery-Electric,1
trn_pass_road_LDV_other,2W and 3W,LA-BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Plug-in Hybrid,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Plug-in Hybrid,1
trn_pass_road_LDV_other,2W and 3W,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Internal Combustion,1
trn_pass_road_LDV_4W_urban,Car,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Large Car and Truck,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Mini Car,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Car,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Large Car and Truck,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Mini Car,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Car,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Large Car and Truck,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Mini Car,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W_urban,Car,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W_urban,Car,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W_urban,Large Car and Truck,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W_urban,Large Car and Truck,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W_urban,Mini Car,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W_urban,Mini Car,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_urban,2W and 3W,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Internal Combustion,1
trn_pass_road_LDV_urban,2W and 3W,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Battery-Electric,1
trn_pass_road_LDV_urban,2W and 3W,LA-BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Plug-in Hybrid,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Plug-in Hybrid,1
trn_pass_road_LDV_urban,2W and 3W,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Internal Combustion,1
